t,u,y
26.48000000,2.89896154,591.42864990
26.50000000,2.89896154,591.42864990
26.52000000,2.89896154,597.85717773
26.54000000,2.89896154,597.85717773
26.56000000,2.07637906,597.85717773
26.58000000,2.07637906,597.85717773
26.60000000,2.07637906,591.42864990
26.62000000,2.07637906,578.57147217
26.64000000,2.07637906,572.14288330
26.66000000,2.07637906,572.14288330
26.68000000,2.07637906,565.71429443
26.70000000,2.07637906,559.28576660
26.72000000,2.07637906,559.28576660
26.74000000,2.07637906,559.28576660
26.76000000,2.07637906,552.85717773
26.78000000,2.07637906,559.28576660
26.80000000,2.07637906,552.85717773
26.82000000,2.07637906,552.85717773
26.84000000,2.07637906,552.85717773
26.86000000,2.07637906,552.85717773
26.88000000,2.89896154,552.85717773
26.90000000,2.89896154,552.85717773
26.92000000,2.89896154,572.14288330
26.94000000,2.89896154,585.00006104
26.96000000,2.89896154,591.42864990
26.98000000,2.89896154,597.85717773
27.00000000,2.89896154,597.85717773
27.02000000,2.89896154,604.28576660
27.04000000,2.89896154,604.28576660
27.06000000,2.89896154,597.85717773
27.08000000,2.89896154,604.28576660
27.10000000,2.89896154,604.28576660
27.12000000,2.89896154,604.28576660
27.14000000,2.89896154,604.28576660
27.16000000,2.89896154,604.28576660
27.18000000,2.89896154,604.28576660
27.20000000,2.89896154,604.28576660
27.22000000,2.89896154,604.28576660
27.24000000,2.89896154,604.28576660
27.26000000,2.89896154,604.28576660
27.28000000,2.89896154,604.28576660
27.30000000,2.89896154,604.28576660
27.32000000,2.89896154,604.28576660
27.34000000,2.89896154,604.28576660
27.36000000,2.89896154,604.28576660
27.38000000,2.89896154,604.28576660
27.40000000,2.89896154,604.28576660
27.42000000,2.89896154,610.71435547
27.44000000,2.89896154,604.28576660
27.46000000,2.89896154,610.71435547
27.48000000,2.89896154,604.28576660
27.50000000,2.89896154,610.71435547
27.52000000,2.89896154,604.28576660
27.54000000,2.89896154,604.28576660
27.56000000,2.89896154,604.28576660
27.58000000,2.89896154,604.28576660
27.60000000,2.89896154,604.28576660
27.62000000,2.89896154,604.28576660
27.64000000,2.89896154,610.71435547
27.66000000,2.89896154,604.28576660
27.68000000,2.07637906,610.71435547
27.70000000,2.07637906,604.28576660
27.72000000,2.07637906,591.42864990
27.74000000,2.07637906,578.57147217
27.76000000,2.07637906,578.57147217
27.78000000,2.07637906,565.71429443
27.80000000,2.07637906,565.71429443
27.82000000,2.07637906,565.71429443
27.84000000,2.89896154,559.28576660
27.86000000,2.89896154,559.28576660
27.88000000,2.89896154,578.57147217
27.90000000,2.89896154,585.00006104
27.92000000,2.89896154,591.42864990
27.94000000,2.89896154,597.85717773
27.96000000,2.89896154,604.28576660
27.98000000,2.89896154,604.28576660
28.00000000,2.07637906,604.28576660
28.02000000,2.07637906,604.28576660
28.04000000,2.07637906,585.00006104
28.06000000,2.07637906,578.57147217
28.08000000,2.07637906,572.14288330
